"run" "sample" "cell.type" "num.cells" "expressed.genes" "meanUMI" "evaluation" "estimated.counts" "dataset" "threshold" "rsq"
"Run 5" "complete" "EFO:0011025_UBERON:0000178_CL:0000938" 3638 8055 2081.72127542606 "own_count10" 4395 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled75" "EFO:0011025_UBERON:0000178_CL:0000938" 3638 7273 1561.41506322155 "own_count10" 3610 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled50" "EFO:0011025_UBERON:0000178_CL:0000938" 3638 6022 1041.11517317207 "own_count10" 2607 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled25" "EFO:0011025_UBERON:0000178_CL:0000938" 3638 3815 520.550027487631 "own_count10" 1262 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "complete" "EFO:0011025_UBERON:0000178_CL:0000788" 8679 10299 3553.55617006568 "own_count10" 7455 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled75" "EFO:0011025_UBERON:0000178_CL:0000788" 8679 9759 2665.29461919576 "own_count10" 6615 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled50" "EFO:0011025_UBERON:0000178_CL:0000788" 8679 8893 1777.02615508699 "own_count10" 5458 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled25" "EFO:0011025_UBERON:0000178_CL:0000788" 8679 7101 888.516534162922 "own_count10" 3614 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "complete" "EFO:0011025_UBERON:0000178_CL:0000784" 75 924 7882.32 "own_count10" 288 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled75" "EFO:0011025_UBERON:0000178_CL:0000784" 75 706 5911.90666666667 "own_count10" 237 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled50" "EFO:0011025_UBERON:0000178_CL:0000784" 75 439 3941.36 "own_count10" 183 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled25" "EFO:0011025_UBERON:0000178_CL:0000784" 75 230 1970.74666666667 "own_count10" 104 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "complete" "EFO:0011025_UBERON:0000178_CL:0000939" 6948 9869 3184.1465169833 "own_count10" 6870 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled75" "EFO:0011025_UBERON:0000178_CL:0000939" 6948 9323 2388.23301669545 "own_count10" 6086 "Training data set" "Training data set - Count > 10" 0.928370254361329
