"gene_symbol" "cumFraction" "rank" "indicator"
"ENSG00000173641" 0.00635593220338983 117 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000054523" 0.00918079096045198 169 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000142599" 0.0124945675793133 230 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000142676" 0.0132551064754455 244 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000142661" 0.0151021295089092 278 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000116288" 0.0153194263363755 282 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000175756" 0.0272164276401565 501 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000158828" 0.0283572359843546 522 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000117118" 0.0344415471534116 634 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000117115" 0.0372120817036071 685 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000075151" 0.0380812690134724 701 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000077549" 0.0386245110821382 711 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000160075" 0.0409061277705346 753 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000116251" 0.0434593654932638 800 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000242485" 0.0467188179052586 860 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000178821" 0.0484571925249891 892 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000204219" 0.0491090830073881 904 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000116285" 0.0531833985223816 979 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000162413" 0.0532377227292482 980 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000048707" 0.0535093437635811 985 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000171612" 0.0583441981747067 1074 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000171735" 0.0605171664493698 1114 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000117318" 0.0611147327249022 1125 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000187642" 0.0652976966536289 1202 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000127481" 0.0663841807909605 1222 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000116688" 0.0687201216862234 1265 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000070831" 0.0707844415471534 1303 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000162496" 0.0792046936114733 1458 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000130764" 0.084800086918731 1561 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000233954" 0.0852890047805302 1570 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000230021" 0.0874076488483268 1609 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000116649" 0.0908300738809213 1672 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000127483" 0.0937092568448501 1725 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000117640" 0.0982724902216428 1809 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000074964" 0.0990330291177749 1823 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000117614" 0.100880052151239 1857 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000117616" 0.106040851803564 1952 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000116786" 0.108757062146893 2002 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000130939" 0.110169491525424 2028 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000197530" 0.110441112559757 2033 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000055070" 0.11277705345502 2076 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000188529" 0.123207301173403 2268 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000183726" 0.123750543242069 2278 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000204178" 0.128911342894394 2373 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000142798" 0.130215123859192 2397 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000116731" 0.141568883094307 2606 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000107404" 0.151455888744024 2788 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000074800" 0.152868318122555 2814 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000057757" 0.15645371577575 2880 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000049239" 0.159169926119079 2930 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000053371" 0.160473707083877 2954 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000160087" 0.163352890047805 3007 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000078369" 0.168785310734463 3107 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000037637" 0.17057800956106 3140 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000157916" 0.172099087353325 3168 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000169504" 0.179487179487179 3304 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000078808" 0.179541503694046 3305 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000133226" 0.182040417209909 3351 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000197312" 0.182149065623642 3353 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000116237" 0.18345284658844 3377 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000130940" 0.186386353759235 3431 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000117305" 0.186657974793568 3436 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000127054" 0.187690134724033 3455 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000125944" 0.192362016514559 3541 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000162461" 0.19344850065189 3561 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000049245" 0.204856584093872 3771 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000279457" 0.208441981747066 3837 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000221978" 0.209039548022599 3848 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000171621" 0.210669274228596 3878 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000116809" 0.217731421121252 4008 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000188807" 0.22316384180791 4108 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000116685" 0.226640591047371 4172 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000142655" 0.227401129943503 4186 "10x 3' v2_gastrocnemius_slow muscle cell"
"ENSG00000189266" 0.230171664493698 4237 "10x 3' v2_gastrocnemius_slow muscle cell"
