"gene_symbol" "cumFraction" "rank" "indicator"
"ENSG00000142676" 0.00214776632302406 40 1
"ENSG00000116251" 0.0078393470790378 146 1
"ENSG00000117318" 0.0101481958762887 189 1
"ENSG00000248527" 0.0189003436426117 352 1
"ENSG00000117616" 0.0190614261168385 355 1
"ENSG00000116288" 0.0264712199312715 493 1
"ENSG00000009709" 0.0288337628865979 537 1
"ENSG00000070831" 0.0314647766323024 586 1
"ENSG00000189266" 0.0315721649484536 588 1
"ENSG00000074800" 0.0328071305841924 611 1
"ENSG00000188529" 0.0342568728522337 638 1
"ENSG00000133226" 0.0343105670103093 639 1
"ENSG00000117614" 0.0345790378006873 644 1
"ENSG00000188290" 0.0385524054982818 718 1
"ENSG00000125944" 0.0390356529209622 727 1
"ENSG00000116285" 0.0401095360824742 747 1
"ENSG00000127483" 0.0419888316151203 782 1
"ENSG00000162576" 0.0469286941580756 874 1
"ENSG00000173436" 0.0541237113402062 1008 1
"ENSG00000065526" 0.0549828178694158 1024 1
"ENSG00000162545" 0.0577749140893471 1076 1
"ENSG00000242485" 0.062231529209622 1159 1
"ENSG00000175756" 0.0629295532646048 1172 1
"ENSG00000169504" 0.0662048969072165 1233 1
"ENSG00000077549" 0.0666344501718213 1241 1
"ENSG00000171735" 0.0666881443298969 1242 1
"ENSG00000116731" 0.0701245704467354 1306 1
"ENSG00000078369" 0.0759235395189003 1414 1
"ENSG00000160075" 0.077856529209622 1450 1
"ENSG00000179403" 0.0785008591065292 1462 1
"ENSG00000204219" 0.0809170962199313 1507 1
"ENSG00000157916" 0.0818835910652921 1525 1
"ENSG00000142798" 0.0872530068728522 1625 1
"ENSG00000183726" 0.0925150343642612 1723 1
"ENSG00000083444" 0.0962199312714777 1792 1
"ENSG00000188976" 0.0969716494845361 1806 1
"ENSG00000117298" 0.0989046391752577 1842 1
"ENSG00000053371" 0.0993878865979381 1851 1
"ENSG00000162413" 0.100783934707904 1877 1
"ENSG00000157933" 0.104435137457045 1945 1
"ENSG00000169641" 0.105938573883162 1973 1
"ENSG00000053372" 0.107442010309278 2001 1
"ENSG00000054523" 0.107764175257732 2007 1
"ENSG00000117118" 0.114046391752577 2124 1
"ENSG00000244038" 0.115925687285223 2159 1
"ENSG00000189337" 0.116731099656357 2174 1
"ENSG00000057757" 0.117482817869416 2188 1
"ENSG00000162585" 0.118341924398625 2204 1
"ENSG00000049245" 0.118503006872852 2207 1
"ENSG00000171621" 0.125698024054983 2341 1
"ENSG00000078808" 0.127792096219931 2380 1
"ENSG00000116649" 0.128812285223368 2399 1
"ENSG00000171612" 0.129617697594502 2414 1
"ENSG00000221978" 0.130530498281787 2431 1
"ENSG00000116786" 0.135040807560137 2515 1
"ENSG00000120948" 0.141698883161512 2639 1
"ENSG00000055070" 0.141913659793814 2643 1
"ENSG00000090686" 0.161404639175258 3006 1
"ENSG00000127054" 0.161780498281787 3013 1
"ENSG00000235098" 0.168277491408935 3134 1
"ENSG00000142599" 0.16833118556701 3135 1
"ENSG00000011007" 0.178157216494845 3318 1
"ENSG00000179051" 0.186265034364261 3469 1
"ENSG00000158828" 0.186426116838488 3472 1
"ENSG00000075151" 0.188681271477663 3514 1
"ENSG00000049239" 0.200977233676976 3743 1
"ENSG00000272512" 0.214454467353952 3994 1
"ENSG00000004487" 0.229112972508591 4267 1
"ENSG00000158109" 0.229220360824742 4269 1
"ENSG00000116685" 0.229972079037801 4283 1
"ENSG00000225972" 0.230455326460481 4292 1
"ENSG00000162441" 0.230723797250859 4297 1
"ENSG00000120942" 0.245704467353952 4576 1
"ENSG00000160049" 0.247637457044674 4612 1
"ENSG00000171603" 0.249731529209622 4651 1
"ENSG00000127481" 0.250375859106529 4663 1
"ENSG00000142657" 0.263369845360825 4905 1
"ENSG00000142627" 0.267343213058419 4979 1
"ENSG00000116273" 0.27367912371134 5097 1
"ENSG00000225630" 0.278511597938144 5187 1
"ENSG00000116688" 0.282860824742268 5268 1
"ENSG00000158747" 0.285330756013746 5314 1
"ENSG00000157911" 0.285599226804124 5319 1
"ENSG00000160087" 0.28796176975945 5363 1
"ENSG00000048707" 0.290914948453608 5418 1
"ENSG00000176022" 0.291129725085911 5422 1
"ENSG00000228794" 0.294512457044674 5485 1
"ENSG00000187608" 0.295264175257732 5499 1
"ENSG00000074964" 0.297573024054983 5542 1
"ENSG00000127463" 0.298056271477663 5551 1
"ENSG00000116213" 0.305627147766323 5692 1
"ENSG00000198912" 0.306217783505155 5703 1
"ENSG00000116691" 0.30761383161512 5729 1
"ENSG00000116670" 0.308097079037801 5738 1
"ENSG00000008130" 0.309009879725086 5755 1
"ENSG00000162458" 0.326836340206186 6087 1
"ENSG00000107404" 0.328017611683849 6109 1
"ENSG00000130764" 0.328339776632302 6115 1
"ENSG00000261326" 0.328554553264605 6119 1
"ENSG00000160072" 0.331024484536082 6165 1
"ENSG00000186827" 0.331131872852234 6167 1
"ENSG00000171824" 0.335534793814433 6249 1
"ENSG00000049246" 0.338165807560137 6298 1
"ENSG00000179743" 0.340743127147766 6346 1
"ENSG00000215915" 0.340796821305842 6347 1
"ENSG00000116809" 0.341709621993127 6364 1
"ENSG00000179163" 0.345468213058419 6434 1
"ENSG00000157191" 0.345629295532646 6437 1
"ENSG00000162408" 0.349924828178694 6517 1
"ENSG00000058453" 0.354327749140893 6599 1
"ENSG00000117305" 0.35534793814433 6618 1
"ENSG00000090432" 0.357442010309278 6657 1
"ENSG00000130939" 0.36120060137457 6727 1
"ENSG00000197785" 0.366570017182131 6827 1
"ENSG00000178585" 0.367912371134021 6852 1
"ENSG00000219481" 0.375429553264605 6992 1
"ENSG00000184677" 0.375912800687285 7001 1
"ENSG00000007923" 0.378651202749141 7052 1
"ENSG00000132879" 0.382033934707904 7115 1
"ENSG00000197530" 0.383483676975945 7142 1
"ENSG00000169991" 0.38976589347079 7259 1
"ENSG00000177674" 0.390249140893471 7268 1
"ENSG00000227372" 0.390571305841924 7274 1
"ENSG00000248333" 0.392772766323024 7315 1
"ENSG00000037637" 0.393041237113402 7320 1
"ENSG00000041988" 0.393900343642612 7336 1
"ENSG00000157873" 0.394813144329897 7353 1
"ENSG00000197312" 0.402115549828179 7489 1
"ENSG00000116198" 0.402598797250859 7498 1
"ENSG00000162493" 0.40442439862543 7532 1
"ENSG00000215908" 0.411350945017182 7661 1
"ENSG00000131584" 0.413606099656357 7703 1
"ENSG00000177000" 0.422250859106529 7864 1
"ENSG00000272106" 0.426277920962199 7939 1
"ENSG00000162496" 0.430734536082474 8022 1
"ENSG00000011021" 0.435567010309278 8112 1
"ENSG00000158292" 0.440077319587629 8196 1
"ENSG00000097021" 0.44018470790378 8198 1
"ENSG00000204859" 0.450064432989691 8382 1
"ENSG00000180758" 0.458279639175258 8535 1
"ENSG00000142634" 0.461877147766323 8602 1
"ENSG00000159363" 0.463004725085911 8623 1
"ENSG00000215014" 0.470038659793814 8754 1
"ENSG00000169914" 0.476052405498282 8866 1
"ENSG00000189339" 0.476965206185567 8883 1
"ENSG00000284602" 0.481260738831615 8963 1
"ENSG00000162542" 0.481958762886598 8976 1
"ENSG00000011009" 0.483462199312715 9004 1
"ENSG00000228327" 0.490012886597938 9126 1
"ENSG00000116138" 0.51073883161512 9512 1
"ENSG00000173614" 0.516376718213058 9617 1
"ENSG00000142655" 0.52051116838488 9694 1
"ENSG00000230424" 0.521048109965636 9704 1
"ENSG00000224051" 0.522873711340206 9738 1
"ENSG00000162461" 0.526471219931271 9805 1
"ENSG00000205090" 0.53173324742268 9903 1
"ENSG00000188807" 0.533719931271478 9940 1
"ENSG00000116663" 0.535008591065292 9964 1
"ENSG00000040487" 0.535867697594502 9980 1
"ENSG00000224870" 0.539089347079038 10040 1
"ENSG00000116237" 0.540055841924399 10058 1
"ENSG00000117308" 0.547573024054983 10198 1
"ENSG00000215790" 0.555680841924399 10349 1
"ENSG00000238142" 0.561318728522337 10454 1
"ENSG00000173641" 0.562177835051546 10470 1
"ENSG00000157881" 0.563788659793814 10500 1
"ENSG00000132906" 0.576245704467354 10732 1
"ENSG00000284716" 0.580272766323024 10807 1
"ENSG00000169972" 0.581185567010309 10824 1
"ENSG00000218510" 0.581292955326461 10826 1
"ENSG00000131591" 0.584192439862543 10880 1
"ENSG00000198793" 0.588219501718213 10955 1
"ENSG00000187961" 0.589454467353952 10978 1
"ENSG00000231789" 0.593320446735395 11050 1
"ENSG00000117122" 0.594394329896907 11070 1
