"gene_symbol" "cumFraction" "rank" "indicator"
"ENSMUSG00000090862" 0.00547233052876394 80 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000029380" 0.0119023189000616 174 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000032231" 0.0138860387167385 203 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000033379" 0.0232574047472467 340 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000030057" 0.0255147410903619 373 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000020390" 0.0439154524933306 642 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000073982" 0.0509610780491142 745 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000024401" 0.053560435050277 783 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000026878" 0.0557493672617826 815 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000024758" 0.0731240166906081 1069 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000005354" 0.0783227306929339 1145 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000021591" 0.0821533620630686 1201 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000068882" 0.0839318694849169 1227 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000030934" 0.0895410082768999 1309 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000029422" 0.0922771735412819 1349 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000031565" 0.0958341883849785 1401 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000018340" 0.098023120596484 1433 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000015149" 0.0985019495177509 1440 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000020570" 0.100622477597647 1471 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000028165" 0.105342362678706 1540 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000031068" 0.10616321225802 1552 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000024425" 0.108967781654012 1593 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000019920" 0.110404268417812 1614 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000023947" 0.111361926260346 1628 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000028035" 0.111430330391956 1629 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000025410" 0.113961283261509 1666 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000060803" 0.119433613790273 1746 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000023106" 0.121964566659826 1783 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000017774" 0.123195841028798 1801 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000020029" 0.128394555031124 1877 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000025487" 0.130036254189753 1901 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000022037" 0.151993980436418 2222 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000051154" 0.158218756412887 2313 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000038762" 0.160270880361174 2343 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000020818" 0.163759491073261 2394 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000066149" 0.165811615021547 2424 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000024393" 0.17142075381353 2506 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000034297" 0.183391476845201 2681 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000030983" 0.187906149531432 2747 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000027519" 0.195841028798139 2863 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000022451" 0.19727751556194 2884 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000041202" 0.199671660168274 2919 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000030662" 0.205622819618305 3006 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000021823" 0.208153772487858 3043 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000029919" 0.208222176619468 3044 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000021559" 0.209316642725221 3060 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000030263" 0.21855120049251 3195 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000016831" 0.225460017785074 3296 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000067713" 0.23223202681442 3395 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000039477" 0.235789041658116 3447 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000005667" 0.237909569738012 3478 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000034269" 0.242697858950681 3548 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000029684" 0.245228811820234 3585 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000095028" 0.245570832478282 3590 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000040746" 0.245981257267939 3596 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000001348" 0.254052944797866 3714 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000055720" 0.259593679458239 3795 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000020696" 0.259730487721458 3797 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000022221" 0.260756549695602 3812 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000060038" 0.264518776934127 3867 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000003752" 0.273479718174978 3998 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000022706" 0.276010671044531 4035 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000021494" 0.278336411519256 4069 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000030127" 0.28380874204802 4149 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000031774" 0.291606813051508 4263 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000028651" 0.293111703946918 4285 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000020919" 0.295505848553253 4320 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000031878" 0.295642656816472 4322 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000043207" 0.298036801422806 4357 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000032563" 0.299199671660168 4374 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000027531" 0.300157329502702 4388 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000000244" 0.301183391476845 4403 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000060639" 0.303919556741227 4443 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000039703" 0.307339763321705 4493 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000017299" 0.313154114508516 4578 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000038914" 0.313290922771735 4580 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000034135" 0.314385388877488 4596 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000032673" 0.314864217798755 4603 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000059316" 0.319652507011424 4673 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000070972" 0.320610164853957 4687 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000028013" 0.321773035091319 4704 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000039656" 0.322525480539025 4715 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000022387" 0.325672070593064 4761 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000038429" 0.326698132567207 4776 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000060450" 0.327313769751693 4785 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000026519" 0.327997811067788 4795 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000039936" 0.328955468910322 4809 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000037235" 0.331691634174704 4849 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000059995" 0.337027156440249 4927 "10x 3' v2_limb muscle_macrophage"
