"gene_symbol" "cumFraction" "rank" "indicator"
"ENSG00000116251" 0.00584234789355972 128 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000074800" 0.00611620795107034 134 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000116288" 0.00944817198411612 207 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000077549" 0.0132822127892647 291 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000175756" 0.0148797297914099 326 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000173436" 0.016568533479392 363 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000242485" 0.0171162535944133 375 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000160075" 0.0210415810853987 461 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000162585" 0.0407595052261628 893 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000078369" 0.0429503856862477 941 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000078808" 0.0465562097768041 1020 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000171735" 0.0531288511570587 1164 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000157916" 0.0546807248162855 1198 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000162545" 0.0602492126523347 1320 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000244038" 0.0607512894244374 1331 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000179403" 0.0648135469441782 1420 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000117118" 0.0660459172029759 1447 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000187608" 0.0722077684969647 1582 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000158747" 0.0761330959879502 1668 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000049245" 0.0785978365055457 1722 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000055070" 0.0805148569081199 1764 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000053371" 0.0852161212287188 1867 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000142634" 0.0890045186909489 1950 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000053372" 0.0891870920626227 1954 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000116649" 0.0898260988634808 1968 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000185519" 0.0968095303300014 2121 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000160087" 0.0973116071021042 2132 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000116661" 0.103975535168196 2278 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000188976" 0.106212058971199 2327 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000171612" 0.110502533205532 2421 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000120948" 0.11054817654845 2422 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000116670" 0.118627048245013 2599 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000162441" 0.121137432105527 2654 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000177674" 0.123419599251449 2704 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000178585" 0.124104249395226 2719 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000171729" 0.12688849331325 2780 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000116285" 0.132411337806381 2901 "10x 3' v2_islet of Langerhans_pancreatic A cell"
"ENSG00000179743" 0.143274453420969 3139 "10x 3' v2_islet of Langerhans_pancreatic A cell"
