"run" "sample" "cell.type" "num.cells" "expressed.genes" "meanUMI" "evaluation" "estimated.counts" "dataset" "threshold" "rsq"
"Run 5" "complete" "EFO:0009899_UBERON:0002367_CL:0002340" 18815 13683 6937.63640712198 "own_count10" 13855 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009899_UBERON:0002367_CL:0002340" 18815 13263 5203.35243157056 "own_count10" 13291 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009899_UBERON:0002367_CL:0002340" 18815 12645 3469.06654265214 "own_count10" 12367 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009899_UBERON:0002367_CL:0002340" 18815 11574 1734.53244751528 "own_count10" 10637 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009899_UBERON:0002367_CL:0000738" 1400 10302 4819.82 "own_count10" 7542 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009899_UBERON:0002367_CL:0000738" 1400 9584 3614.98642857143 "own_count10" 6573 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009899_UBERON:0002367_CL:0000738" 1400 8364 2410.17285714286 "own_count10" 5230 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009899_UBERON:0002367_CL:0000738" 1400 5977 1205.07428571429 "own_count10" 3124 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009899_UBERON:0002367_CL:0002341" 5184 11772 3921.10725308642 "own_count10" 10518 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009899_UBERON:0002367_CL:0002341" 5184 11363 2940.96026234568 "own_count10" 9695 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009899_UBERON:0002367_CL:0002341" 5184 10676 1960.80922067901 "own_count10" 8519 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009899_UBERON:0002367_CL:0002341" 5184 9266 980.392554012346 "own_count10" 6467 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009899_UBERON:0002367_CL:1001597" 1314 9251 7997.89193302892 "own_count10" 6612 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009899_UBERON:0002367_CL:1001597" 1314 8519 5998.55251141553 "own_count10" 5697 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009899_UBERON:0002367_CL:1001597" 1314 7377 3999.20091324201 "own_count10" 4458 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009899_UBERON:0002367_CL:1001597" 1314 5077 1999.58904109589 "own_count10" 2592 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009899_UBERON:0002367_CL:1000299" 519 7631 3983.87668593449 "own_count10" 4447 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009899_UBERON:0002367_CL:1000299" 519 6567 2988.03468208092 "own_count10" 3522 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009899_UBERON:0002367_CL:1000299" 519 5027 1992.18304431599 "own_count10" 2384 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009899_UBERON:0002367_CL:1000299" 519 2886 996.104046242775 "own_count10" 1052 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009899_UBERON:0002367_CL:2000059" 87 2025 4150.14942528736 "own_count10" 649 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009899_UBERON:0002367_CL:2000059" 87 1490 3112.74712643678 "own_count10" 472 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009899_UBERON:0002367_CL:2000059" 87 947 2075.31034482759 "own_count10" 330 "Training data set" "Training data set - Count > 10" 0.925922580026504
