"gene_symbol" "cumFraction" "rank" "indicator"
"ENSMUSG00000058600" 0.00599683803085646 110 1
"ENSMUSG00000027006" 0.00648748841519926 119 1
"ENSMUSG00000016998" 0.00654200512457068 120 1
"ENSMUSG00000022136" 0.00823202311508477 151 1
"ENSMUSG00000084786" 0.0111759254211416 205 1
"ENSMUSG00000050856" 0.0121572261898272 223 1
"ENSMUSG00000031231" 0.0148285449490269 272 1
"ENSMUSG00000033429" 0.0227879845172545 418 1
"ENSMUSG00000071072" 0.02529575314834 464 1
"ENSMUSG00000000787" 0.0295480564793109 542 1
"ENSMUSG00000048578" 0.0339093932290247 622 1
"ENSMUSG00000028249" 0.0340184266477675 624 1
"ENSMUSG00000020088" 0.0426320667284523 782 1
"ENSMUSG00000021124" 0.0426865834378237 783 1
"ENSMUSG00000024327" 0.0460666194188519 845 1
"ENSMUSG00000032239" 0.0481382543749659 883 1
"ENSMUSG00000037710" 0.0514637736466227 944 1
"ENSMUSG00000028772" 0.067764269748678 1243 1
"ENSMUSG00000038502" 0.0688546039361064 1263 1
"ENSMUSG00000037772" 0.0704355885078777 1292 1
"ENSMUSG00000007415" 0.0715259226953061 1312 1
"ENSMUSG00000014301" 0.0718530229515346 1318 1
"ENSMUSG00000007880" 0.0723436733358774 1327 1
"ENSMUSG00000038374" 0.0738701411982773 1355 1
"ENSMUSG00000051319" 0.076541459957477 1404 1
"ENSMUSG00000048497" 0.0779043776917625 1429 1
"ENSMUSG00000020485" 0.0789401951698196 1448 1
"ENSMUSG00000110945" 0.0805756964509622 1478 1
"ENSMUSG00000042198" 0.0806847298697051 1480 1
"ENSMUSG00000027364" 0.0813389303821621 1492 1
"ENSMUSG00000020994" 0.0835741154663904 1533 1
"ENSMUSG00000037331" 0.0850460666194189 1560 1
"ENSMUSG00000037740" 0.0868996347380472 1594 1
"ENSMUSG00000055978" 0.0914790383252467 1678 1
"ENSMUSG00000020232" 0.093332606443875 1712 1
"ENSMUSG00000006998" 0.0968216758436461 1776 1
"ENSMUSG00000027479" 0.0973668429373603 1786 1
"ENSMUSG00000015165" 0.0992749277653601 1821 1
"ENSMUSG00000026131" 0.100964945755874 1852 1
"ENSMUSG00000046814" 0.102818513874503 1886 1
"ENSMUSG00000069114" 0.103418197677588 1897 1
"ENSMUSG00000057236" 0.103908848061931 1906 1
"ENSMUSG00000051355" 0.10423594831816 1912 1
"ENSMUSG00000018340" 0.105544349343074 1936 1
"ENSMUSG00000037652" 0.105762416180559 1940 1
"ENSMUSG00000073889" 0.108161151392902 1984 1
"ENSMUSG00000028381" 0.112249904595759 2059 1
"ENSMUSG00000039943" 0.129695251594614 2379 1
"ENSMUSG00000016308" 0.131439786294499 2411 1
"ENSMUSG00000022186" 0.131494303003871 2412 1
"ENSMUSG00000030180" 0.142234094750041 2609 1
"ENSMUSG00000022521" 0.144850896799869 2657 1
"ENSMUSG00000024392" 0.150847734830726 2767 1
"ENSMUSG00000063273" 0.15291936978684 2805 1
"ENSMUSG00000045210" 0.154500354358611 2834 1
"ENSMUSG00000031441" 0.162078176961239 2973 1
"ENSMUSG00000036622" 0.163768194951753 3004 1
"ENSMUSG00000015672" 0.165458212942267 3035 1
"ENSMUSG00000096199" 0.166384997001581 3052 1
"ENSMUSG00000018415" 0.175053153791637 3211 1
"ENSMUSG00000025228" 0.18933653164695 3473 1
"ENSMUSG00000051510" 0.193915935234149 3557 1
"ENSMUSG00000042207" 0.195387886387178 3584 1
"ENSMUSG00000028800" 0.19587853677152 3593 1
"ENSMUSG00000041415" 0.201711824674263 3700 1
"ENSMUSG00000040945" 0.20274764215232 3719 1
"ENSMUSG00000021972" 0.205418960911519 3768 1
"ENSMUSG00000037712" 0.209616747533119 3845 1
"ENSMUSG00000079508" 0.21157934907049 3881 1
"ENSMUSG00000004100" 0.219974922313689 4035 1
"ENSMUSG00000021738" 0.228697595813117 4195 1
"ENSMUSG00000019761" 0.228970179359974 4200 1
"ENSMUSG00000033022" 0.235239600937687 4315 1
"ENSMUSG00000011008" 0.239600937687401 4395 1
"ENSMUSG00000038025" 0.241836122771629 4436 1
"ENSMUSG00000020519" 0.242544839993458 4449 1
"ENSMUSG00000027624" 0.245706809137 4507 1
"ENSMUSG00000055723" 0.247560377255629 4541 1
"ENSMUSG00000033991" 0.258681785967399 4745 1
"ENSMUSG00000029439" 0.259608570026713 4762 1
"ENSMUSG00000010067" 0.267949626560541 4915 1
"ENSMUSG00000023156" 0.271166112413455 4974 1
"ENSMUSG00000026571" 0.271493212669683 4980 1
"ENSMUSG00000036002" 0.272638063566483 5001 1
"ENSMUSG00000074829" 0.277544567409911 5091 1
"ENSMUSG00000024983" 0.277708117538025 5094 1
"ENSMUSG00000045411" 0.279289102109797 5123 1
"ENSMUSG00000036686" 0.280870086681568 5152 1
"ENSMUSG00000041688" 0.281306220356539 5160 1
"ENSMUSG00000026427" 0.281742354031511 5168 1
"ENSMUSG00000026596" 0.28822984244671 5287 1
"ENSMUSG00000048175" 0.289047593087281 5302 1
"ENSMUSG00000028893" 0.289156626506024 5304 1
"ENSMUSG00000040022" 0.289265659924767 5306 1
"ENSMUSG00000029500" 0.293954096930709 5392 1
"ENSMUSG00000021978" 0.294008613640081 5393 1
"ENSMUSG00000029213" 0.303985171455051 5576 1
"ENSMUSG00000036918" 0.304039688164422 5577 1
"ENSMUSG00000020752" 0.304257755001908 5581 1
"ENSMUSG00000090083" 0.304584855258137 5587 1
"ENSMUSG00000049124" 0.307310690726708 5637 1
"ENSMUSG00000070639" 0.308128441367279 5652 1
"ENSMUSG00000078349" 0.321485035163278 5897 1
"ENSMUSG00000028890" 0.327590906612877 6009 1
"ENSMUSG00000097416" 0.336477130240419 6172 1
"ENSMUSG00000034771" 0.344109469552418 6312 1
"ENSMUSG00000053950" 0.347107888567846 6367 1
"ENSMUSG00000026974" 0.351196641770703 6442 1
"ENSMUSG00000042608" 0.353922477239274 6492 1
"ENSMUSG00000031974" 0.354522161042359 6503 1
"ENSMUSG00000022382" 0.355721528648531 6525 1
"ENSMUSG00000029034" 0.356484762579731 6539 1
"ENSMUSG00000067787" 0.356975412964073 6548 1
"ENSMUSG00000000134" 0.357302513220302 6554 1
"ENSMUSG00000053141" 0.360791582620073 6618 1
"ENSMUSG00000056536" 0.36220901706373 6644 1
"ENSMUSG00000027201" 0.36449871885733 6686 1
"ENSMUSG00000023067" 0.365534536335387 6705 1
"ENSMUSG00000040616" 0.366733903941558 6727 1
"ENSMUSG00000033124" 0.367769721419615 6746 1
"ENSMUSG00000059586" 0.370550073597558 6797 1
"ENSMUSG00000003541" 0.371367824238129 6812 1
"ENSMUSG00000025413" 0.371912991331843 6822 1
"ENSMUSG00000005897" 0.373930109578586 6859 1
"ENSMUSG00000097039" 0.382979883334242 7025 1
"ENSMUSG00000037395" 0.38864962110887 7129 1
"ENSMUSG00000029735" 0.394537425720983 7237 1
"ENSMUSG00000028656" 0.39786294499264 7298 1
"ENSMUSG00000112593" 0.405985934688982 7447 1
"ENSMUSG00000039270" 0.406803685329553 7462 1
"ENSMUSG00000037366" 0.429864253393665 7885 1
"ENSMUSG00000058486" 0.433407839502808 7950 1
"ENSMUSG00000069094" 0.436024641552636 7998 1
"ENSMUSG00000013150" 0.440985662105435 8089 1
"ENSMUSG00000059824" 0.441912446164749 8106 1
"ENSMUSG00000001288" 0.444583764923949 8155 1
"ENSMUSG00000034765" 0.450471569536063 8263 1
"ENSMUSG00000052928" 0.453579021970234 8320 1
"ENSMUSG00000078908" 0.456413890857548 8372 1
"ENSMUSG00000032579" 0.458758109360519 8415 1
"ENSMUSG00000039578" 0.459902960257319 8436 1
"ENSMUSG00000031171" 0.460230060513547 8442 1
"ENSMUSG00000055320" 0.463282996238347 8498 1
"ENSMUSG00000019863" 0.46453688055389 8521 1
"ENSMUSG00000028247" 0.469443384397318 8611 1
"ENSMUSG00000060188" 0.473641171018917 8688 1
"ENSMUSG00000025650" 0.474676988496974 8707 1
"ENSMUSG00000114744" 0.47794799105926 8767 1
"ENSMUSG00000073471" 0.478384124734231 8775 1
